index	question	sentence	label
0	毛坯吗？	因为公积金贷款贷的少	0
1	毛坯吗？	是呢	0
2	毛坯吗？	这套一楼带院的，您看看	0
3	毛坯吗？	房本都是五年外的	0
4	毛坯吗？	好的??，您先看下	0
5	你们的佣金费大约是多少和契税是多少。	您是首套还是二套呢？	0
6	你们的佣金费大约是多少和契税是多少。	所有费用下来654万	1
7	你们的佣金费大约是多少和契税是多少。	包含着税费和我们的服务费和房款	1
8	你们的佣金费大约是多少和契税是多少。	好的	0
9	你们的佣金费大约是多少和契税是多少。	链家天鸿美域店NAME，电话是PHONE（同微信号），随时联系?	0
10	靠近川沙路嘛？	正常银行贷款，可以自己还的	0
11	靠近川沙路嘛？	有一点靠近川沙路	1
12	靠近川沙路嘛？	只有那一套毛坯的不靠近川沙路	0
13	这套房源价格还有优惠空间吗？	有	1
14	这套房源价格还有优惠空间吗？	河西区海河沿线的新房，均价30000，带装修，看看去吗，优惠点位很大，五一特惠	0
15	这套房源价格还有优惠空间吗？	宾水里，肿瘤医院地铁5-6号线旁，私产过五年唯一，3楼，南北通透偏独，业主着急卖，看房有钥匙	0
16	这个税多少钱	您看看这个	0
17	这个税多少钱	13楼，精装修的/ 	0
18	这个税多少钱	您现在方便吗 	0
19	这个税多少钱	可以先线上带您看一下 	0
20	这个税多少钱	您稍等一下，给您发链接您点进来就行 	0
21	这套房源价格还有优惠空间么？	价格周期可谈	1
22	这套房源价格还有优惠空间么？	您好	0
23	这套房源价格还有优惠空间么？	您好，您之前咨询的房源户型很优质，您有时间去看看吗？	0
24	有房子可以带我看看吗？	宾至路有套82平方的	1
25	有房子可以带我看看吗？	笋盘	1
26	有房子可以带我看看吗？	可以带您看一下	1
27	什么情况呢？	我们下班比较晚，现在也能看房	0
28	什么情况呢？	哦	0
29	什么情况呢？	大概是这样的	0
30	什么情况呢？	偶尔也会根据成交价格稍微有一点儿浮动	0
31	什么情况呢？	不过这种找房子浮动空间都不大	0
32	这套房源价格还有优惠空间吗？	这套房子价格还有空间	1
33	这套房源价格还有优惠空间吗？	具体要看您付款方式	1
34	边户吗？	对的，	0
35	边户吗？	三向的，	0
36	边户吗？	您想了解一下什么，	0
37	明天还得去看一下这套	明天去看看咯，10点，女朋友妈妈也看看	0
38	明天还得去看一下这套	我帮你查下啦，刚到家，我看下系统	0
39	明天还得去看一下这套	我今天跑到亚运城看新房了，累死了😂，五一太火爆了	0
40	看房方便吗	这套房子在4楼，是中层楼	0
41	看房方便吗	你好	0
42	看房方便吗	七八户😅😅😅	0
43	首付多少	首套房	1
44	首付多少	首付办完 63万左右	1
45	首付多少	包含全部	0
46	采光怎么样呢？	随时可以看房的	0
47	采光怎么样呢？	今天有时间吗	0
48	采光怎么样呢？	我拿好钥匙可以直接现场看的	0
49	采光怎么样呢？	好的 就考虑义堂这块小三室吗	0
50	采光怎么样呢？	只看二环里吗？	0
51	想看一下房子	可以啊	1
52	想看一下房子	您什么时候看	1
53	想看一下房子	好的	0
54	房价还能谈吗？	可以	1
55	房价还能谈吗？	40来万的	0
56	房价还能谈吗？	我们有钥匙的你有时间没	0
57	您好，请问这个户型有啥优缺点	链家NAME很高兴为您服务	0
58	您好，请问这个户型有啥优缺点	永丰楼   6楼到顶的5楼	1
59	您好，请问这个户型有啥优缺点	南北通透的两室	1
60	您好，请问这个户型有啥优缺点	私产  满五年	1
61	您好，请问这个户型有啥优缺点	性价比挺合适的	1
62	先看房子嘛	这几套房子是幸福时光里的，离长生桥轻轨站很近，	0
63	先看房子嘛	您从那边过来	0
64	先看房子嘛	自己开车还是轻轨	0
65	您好，请问这个房子周边有哪些学校	可以申请	0
66	您好，请问这个房子周边有哪些学校	可园小学中学，木棉湾小学中学都可以上	1
67	您好，请问这个房子周边有哪些学校	百合学校分区，只有龙岗区才能上，以近距离录取分数线准	1
68	您好，请问这个房子周边有哪些学校	教育局网	0
69	您好，请问这个房子周边有哪些学校	申请	0
70	你好 请问这个房源信息只有这些吗？	这个房源不存在哈，是租房	1
71	你好 请问这个房源信息只有这些吗？	也可以呀	0
72	你好 请问这个房源信息只有这些吗？	好的	0
73	你好 请问这个房源信息只有这些吗？	请问您的电话是多少	0
74	你好 请问这个房源信息只有这些吗？	您的呢？	0
75	对了我还想看河东的一个房子	琴海公寓您考虑吗？	0
76	对了我还想看河东的一个房子	河东哪套房子？	0
77	对了我还想看河东的一个房子	房子您可以给我发一下吗？我给您约一下。	0
78	什么时候能够看房呢？	嗯嗯	0
79	什么时候能够看房呢？	附近目前还有鑫江花漾里	0
80	什么时候能够看房呢？	😄	0
81	你好，这个房子是要全款？	嗯	0
82	你好，这个房子是要全款？	全款	1
83	你好，这个房子是要全款？	您这边是要按揭还是全款	0
84	你好，这个房子是要全款？	?	0
85	你好，这个房子是要全款？	?	0
86	临街吗？	不临街呢	1
87	临街吗？	在	0
88	您好，请问这个户型有啥优缺点	这户型的缺点是没有阳台	1
89	您好，请问这个户型有啥优缺点	小区是老小区，楼梯房	1
90	您好，请问这个户型有啥优缺点	81坪的小三房	0
91	您好，请问这个户型有啥优缺点	但是楼下交通，生活，学校都很方便	1
92	您好，请问这个户型有啥优缺点	房子是在7楼	0
93	是实验学校吗	不是实验	1
94	是实验学校吗	您要实验学校学区房？	0
95	是实验学校吗	有的	0
96	2020年5月买的1手？	不是啊	1
97	2020年5月买的1手？	2016年买的	1
98	2020年5月买的1手？	2019年底才办的契税	1
99	什么时候能够看房呢？	您好	0
100	什么时候能够看房呢？	您好	0
101	能看吗	可以的	1
